Somme de MONTANT;Étiquettes de colonnes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CUISINE;;;;;;;;;;;;;Total CUISINE;ELECTROMENAGER;;;;;;;;;;;;;Total ELECTROMENAGER;IMAGE-SON;;;;;;;;;;;;;Total IMAGE-SON;INFORMATIQUE;;;;;;;;;;;;;Total INFORMATIQUE;TELEPHONIE;;;;;;;;;;;;;Total TELEPHONIE;Total général
Étiquettes de lignes;Auvergne-Rhône-Alpes;Bourgogne-Franche-Comté;Bretagne;Centre-Val de Loire;Corse;Grand Est;Hauts-de-France;Île-de-France;Normandie;Nouvelle-Aquitaine;Occitanie;Pays de la Loire;Provence-Alpes-Côte d'Azur;;Auvergne-Rhône-Alpes;Bourgogne-Franche-Comté;Bretagne;Centre-Val de Loire;Corse;Grand Est;Hauts-de-France;Île-de-France;Normandie;Nouvelle-Aquitaine;Occitanie;Pays de la Loire;Provence-Alpes-Côte d'Azur;;Auvergne-Rhône-Alpes;Bourgogne-Franche-Comté;Bretagne;Centre-Val de Loire;Corse;Grand Est;Hauts-de-France;Île-de-France;Normandie;Nouvelle-Aquitaine;Occitanie;Pays de la Loire;Provence-Alpes-Côte d'Azur;;Auvergne-Rhône-Alpes;Bourgogne-Franche-Comté;Bretagne;Centre-Val de Loire;Corse;Grand Est;Hauts-de-France;Île-de-France;Normandie;Nouvelle-Aquitaine;Occitanie;Pays de la Loire;Provence-Alpes-Côte d'Azur;;Auvergne-Rhône-Alpes;Bourgogne-Franche-Comté;Bretagne;Centre-Val de Loire;Corse;Grand Est;Hauts-de-France;Île-de-France;Normandie;Nouvelle-Aquitaine;Occitanie;Pays de la Loire;Provence-Alpes-Côte d'Azur;;
janv;2391,9;;404,94;;;;2128,95;;898,62;;1537,14;;;7361,55;3503,7;1055,7;3038,58;737,46;1155,66;2663,22;;1932,9;1871,7;789,48;352,92;;3909,66;21010,98;487,56;2936,36;1205,64;;;936,36;2277,66;1743,18;1982,26;;4053,66;;819,06;16441,74;2117,52;916,98;;734,4;879,24;;778,26;1115,88;3088,56;1390,26;238,68;;1689,12;12948,9;;;;1387,2;3231,36;1178,1;1559,58;2239,92;;244,8;745,62;1125,06;2358,24;14069,88;71833,05
févr;320,9;213,18;;390,26;1336,2;726,24;2017,56;1758,18;677,28;;731,34;115,88;1751,34;10038,36;179,52;1549,38;979,2;;1935,96;;1014,9;2196,06;1114,86;;;573,24;689,52;10232,64;260,1;2392,92;;;;3638,12;1496,74;1193,4;6195,04;1123,02;;;5705,04;22004,38;4145,28;;786,42;1464,72;614,04;1839,06;;2138,94;862,92;1362,72;;271,32;1226,04;14711,46;954,72;2205,24;1069,98;;;863,94;;1791,12;;831,3;1758,48;;;9474,78;66461,62
mars;;138,32;790,5;;1180,14;702,78;459;3727,08;1825,32;;2076,32;1493,28;1295,4;13688,14;553,86;;645,66;2182,8;;280,5;950,64;6044,52;888,42;2175,66;1365,78;1000,62;875,16;16963,62;2699,72;715,02;2449,02;;;606,9;2127,72;6423,74;;2273,58;7528,58;324,36;1371,9;26520,54;2415,36;;;;212,16;943,5;1380,06;2348,04;1741,14;159,12;646,68;;3621;13467,06;3602,64;732,36;237,66;2395,98;;1065,9;816;1843,14;1198,5;1330,08;;566,1;1018,98;14807,34;85446,7
avr;4218,72;;1138,32;989,4;;;;2553,06;408,66;;2167,5;;1504,5;12980,16;;1614,66;;283,56;300,9;1332,12;2364,36;1422,9;1256,64;1395,36;2356,2;;2037,96;14364,66;417,18;;;1248,48;1815,6;1173;2478,38;758,88;1270,92;;;;2333,76;11496,2;3391,5;;855,78;1094,46;2403,12;1264,8;1141,38;2761,14;1116,9;;;213,18;5807,88;20050,14;1671,78;;1492,26;;1339,26;882,3;649,74;;;2231,76;;;950,64;9217,74;68108,9
mai;1627,52;963,9;142,4;1318,86;;;411,68;597,72;859,86;1086,3;;198,9;967,98;8175,12;3973,92;480,42;2518,38;1363,74;427,38;;;2392,92;;829,26;;1412,7;1316,82;14715,54;5054,5;;2643,84;2131,8;328,44;1129,14;1809,48;200,94;1210,74;;393,72;;756,84;15659,44;2025,72;2342,94;934,32;;731,34;;;1308,66;1269,9;;976,14;;2696,88;12285,9;2415,36;386,58;;2652;;;1753,38;;252,96;;1212,78;1356,6;3741,36;13771,02;64607,02
juin;2748,9;491,64;1987,98;;752,76;2248,08;3321,12;2798,28;2260,32;;;;1321,92;17931;3693,42;;1740,12;;;;297,84;2959,02;727,26;2721,36;793,56;1118,94;1605,48;15657;980,22;1952,28;3030,2;;;436,56;2554,08;464,1;261,12;920,04;186,66;2571,42;;13356,68;1079,16;;1257,66;1164,84;626,28;;1077,12;5170,38;2246,04;155,04;1183,2;351,9;489,6;14801,22;1328,04;1360,68;2562,24;2349,06;1303,56;;2922,3;2666,28;622,2;367,2;;573,24;2321,52;18376,32;80122,22
juil;1614,9;919,02;1811,7;985,71;;1321,92;1587,12;2745,84;4455,45;383,52;2477,58;535,5;1342,32;20180,58;701,76;1405,56;294,78;;;1603,44;;1598,34;1953,3;1258,68;1110,78;433,5;4792,98;15153,12;3144,66;1342,32;1211,76;737,46;;;;899,64;3290,92;;1754,8;;626,28;13007,84;3210,96;947,58;1318,86;1368,84;2159,34;1541,22;908,82;1766,64;;2455,14;;760,92;1583,04;18021,36;922,08;;1250,52;542,64;2506,14;;377,4;1739,1;316,2;1344,36;;;1941,06;10939,5;77302,4
août;2550,98;;;776;1021,02;;421,26;1750,14;418,82;;2264,4;1553,31;242,76;10998,69;3257,88;1099,56;1288,26;1196,46;1043,46;1294,38;;2024,7;;849,66;1781,94;;1162,8;14999,1;868,02;3131,4;2240,94;1652,4;1931,88;1241,34;;1097,52;;212,16;1369,86;1557,54;1108,74;16411,8;3170,16;1302,54;429,42;403,92;;;1245,42;1442,28;;693,6;;543,66;;9231;4483,92;1687,08;;3512,88;1414,74;1466,76;970,02;1084,26;1165,86;;1818,66;165,24;2017,56;19786,98;71427,57
sept;;399,84;2333,76;123;;934,32;;2365,86;1448,4;;234;;1556,52;9395,7;2827,44;1549,38;155,04;;1163,82;;;1499,4;;;;824,16;1807,44;9826,68;;868,02;189,72;1079,16;808,86;1415,76;1409,64;2134,86;;1233,18;;;;9139,2;2123,64;2404,14;;951,66;1099,56;4008,6;1248,48;500,82;438,6;;801,72;1538,16;2574,48;17689,86;428,4;2155,26;956,76;566,1;1363,74;2097,12;906,78;2149,14;;;1209,72;3447,6;748,68;16029,3;62080,74
