Somme de MONTANT;Étiquettes de colonnes;;;;;;;;;;;;;;
;ELECTROMENAGER;;;;;;;;;;;;;Total ELECTROMENAGER;Total général
Étiquettes de lignes;Auvergne-Rhône-Alpes;Bourgogne-Franche-Comté;Bretagne;Centre-Val de Loire;Corse;Grand Est;Hauts-de-France;Île-de-France;Normandie;Nouvelle-Aquitaine;Occitanie;Pays de la Loire;Provence-Alpes-Côte d'Azur;;
janv;3 503,70 €;1 055,70 €;3 038,58 €;737,46 €;1 155,66 €;2 663,22 €;;1 932,90 €;1 871,70 €;789,48 €;352,92 €;;3 909,66 €;21 010,98 €;21 010,98 €
févr;179,52 €;1 549,38 €;979,20 €;;1 935,96 €;;1 014,90 €;2 196,06 €;1 114,86 €;;;573,24 €;689,52 €;10 232,64 €;10 232,64 €
mars;553,86 €;;645,66 €;2 182,80 €;;280,50 €;950,64 €;6 044,52 €;888,42 €;2 175,66 €;1 365,78 €;1 000,62 €;875,16 €;16 963,62 €;16 963,62 €
avr;;1 614,66 €;;283,56 €;300,90 €;1 332,12 €;2 364,36 €;1 422,90 €;1 256,64 €;1 395,36 €;2 356,20 €;;2 037,96 €;14 364,66 €;14 364,66 €
mai;3 973,92 €;480,42 €;2 518,38 €;1 363,74 €;427,38 €;;;2 392,92 €;;829,26 €;;1 412,70 €;1 316,82 €;14 715,54 €;14 715,54 €
juin;3 693,42 €;;1 740,12 €;;;;297,84 €;2 959,02 €;727,26 €;2 721,36 €;793,56 €;1 118,94 €;1 605,48 €;15 657,00 €;15 657,00 €
juil;701,76 €;1 405,56 €;294,78 €;;;1 603,44 €;;1 598,34 €;1 953,30 €;1 258,68 €;1 110,78 €;433,50 €;4 792,98 €;15 153,12 €;15 153,12 €
août;3 257,88 €;1 099,56 €;1 288,26 €;1 196,46 €;1 043,46 €;1 294,38 €;;2 024,70 €;;849,66 €;1 781,94 €;;1 162,80 €;14 999,10 €;14 999,10 €
sept;2 827,44 €;1 549,38 €;155,04 €;;1 163,82 €;;;1 499,40 €;;;;824,16 €;1 807,44 €;9 826,68 €;9 826,68 €
oct;5 861,94 €;998,58 €;3 286,44 €;1 090,38 €;;;1 357,62 €;3 946,38 €;402,90 €;1 316,82 €;134,64 €;315,18 €;1 024,08 €;19 734,96 €;19 734,96 €
nov;;639,54 €;1 670,76 €;1 421,88 €;;;1 725,84 €;391,68 €;928,20 €;1 559,58 €;;;1 066,92 €;9 404,40 €;9 404,40 €
déc;;657,90 €;;1 501,44 €;;2 635,68 €;1 674,84 €;599,76 €;186,66 €;;;;1 188,30 €;8 444,58 €;8 444,58 €
Total général;24 553,44 €;11 050,68 €;15 617,22 €;9 777,72 €;6 027,18 €;9 809,34 €;9 386,04 €;27 008,58 €;9 329,94 €;12 895,86 €;7 895,82 €;5 678,34 €;21 477,12 €;170 507,28 €;170 507,28 €
