Somme de MONTANT;Étiquettes de colonnes;;;;;;;;;;;;;;
;INFORMATIQUE;;;;;;;;;;;;;Total INFORMATIQUE;Total général
Étiquettes de lignes;Auvergne-Rhône-Alpes;Bourgogne-Franche-Comté;Bretagne;Centre-Val de Loire;Corse;Grand Est;Hauts-de-France;Île-de-France;Normandie;Nouvelle-Aquitaine;Occitanie;Pays de la Loire;Provence-Alpes-Côte d'Azur;;
janv;2 117,52 €;916,98 €;;734,40 €;879,24 €;;778,26 €;1 115,88 €;3 088,56 €;1 390,26 €;238,68 €;;1 689,12 €;12 948,90 €;12 948,90 €
févr;4 145,28 €;;786,42 €;1 464,72 €;614,04 €;1 839,06 €;;2 138,94 €;862,92 €;1 362,72 €;;271,32 €;1 226,04 €;14 711,46 €;14 711,46 €
mars;2 415,36 €;;;;212,16 €;943,50 €;1 380,06 €;2 348,04 €;1 741,14 €;159,12 €;646,68 €;;3 621,00 €;13 467,06 €;13 467,06 €
avr;3 391,50 €;;855,78 €;1 094,46 €;2 403,12 €;1 264,80 €;1 141,38 €;2 761,14 €;1 116,90 €;;;213,18 €;5 807,88 €;20 050,14 €;20 050,14 €
mai;2 025,72 €;2 342,94 €;934,32 €;;731,34 €;;;1 308,66 €;1 269,90 €;;976,14 €;;2 696,88 €;12 285,90 €;12 285,90 €
juin;1 079,16 €;;1 257,66 €;1 164,84 €;626,28 €;;1 077,12 €;5 170,38 €;2 246,04 €;155,04 €;1 183,20 €;351,90 €;489,60 €;14 801,22 €;14 801,22 €
juil;3 210,96 €;947,58 €;1 318,86 €;1 368,84 €;2 159,34 €;1 541,22 €;908,82 €;1 766,64 €;;2 455,14 €;;760,92 €;1 583,04 €;18 021,36 €;18 021,36 €
août;3 170,16 €;1 302,54 €;429,42 €;403,92 €;;;1 245,42 €;1 442,28 €;;693,60 €;;543,66 €;;9 231,00 €;9 231,00 €
sept;2 123,64 €;2 404,14 €;;951,66 €;1 099,56 €;4 008,60 €;1 248,48 €;500,82 €;438,60 €;;801,72 €;1 538,16 €;2 574,48 €;17 689,86 €;17 689,86 €
oct;2 711,16 €;1 983,90 €;425,34 €;1 030,20 €;1 262,76 €;1 067,94 €;;1 151,58 €;235,62 €;;478,38 €;;;10 346,88 €;10 346,88 €
nov;921,06 €;1 777,86 €;2 193,00 €;;3 821,94 €;574,26 €;2 195,04 €;;1 331,10 €;;;844,56 €;946,56 €;14 605,38 €;14 605,38 €
déc;2 648,94 €;2 748,90 €;1 244,40 €;;;970,02 €;1 669,74 €;3 960,66 €;3 118,14 €;;;1 209,72 €;3 108,96 €;20 679,48 €;20 679,48 €
Total général;29 960,46 €;14 424,84 €;9 445,20 €;8 213,04 €;13 809,78 €;12 209,40 €;11 644,32 €;23 665,02 €;15 448,92 €;6 215,88 €;4 324,80 €;5 733,42 €;23 743,56 €;178 838,64 €;178 838,64 €
